pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
broad_lam_like,program_2,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,ACTA2,0.01818181818181818,0.11895580196687129
broad_lam_like,program_3,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.05368150689062825
broad_lam_like,program_4,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.22371294240330497
broad_lam_like,program_5,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,0.1374735768392922
broad_lam_like,program_1,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.17402779382451203
broad_lam_like,program_2,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"ACTA2,TAGLN",0.03571428571428571,0.570110140708521
broad_lam_like,program_3,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.18660513262296696
broad_lam_like,program_4,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.3042362998630978
broad_lam_like,program_5,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.23205673812977518
broad_lam_like,program_1,ECM_remodeling,LAM-shared,supported,gene_set,0,,0.0,-0.06999060627970978
broad_lam_like,program_2,ECM_remodeling,LAM-shared,supported,gene_set,0,,0.0,0.42580848815635397
broad_lam_like,program_3,ECM_remodeling,LAM-shared,supported,gene_set,0,,0.0,-0.22043166716059515
broad_lam_like,program_4,ECM_remodeling,LAM-shared,supported,gene_set,0,,0.0,-0.2912733624087089
broad_lam_like,program_5,ECM_remodeling,LAM-shared,supported,gene_set,0,,0.0,0.03792295770931821
broad_lam_like,program_1,mTOR_translation,TSC-tumor-shared,supported,gene_set,0,,0.0,-0.34617503828316104
broad_lam_like,program_2,mTOR_translation,TSC-tumor-shared,supported,gene_set,6,"RPL3,RPL5,RPLP0,RPS3,RPS6,RPS8",0.10909090909090909,0.8710259645362185
broad_lam_like,program_3,mTOR_translation,TSC-tumor-shared,supported,gene_set,0,,0.0,-0.32369221735573733
broad_lam_like,program_4,mTOR_translation,TSC-tumor-shared,supported,gene_set,0,,0.0,-0.4102597619837723
broad_lam_like,program_5,mTOR_translation,TSC-tumor-shared,supported,gene_set,0,,0.0,-0.17473747641684004
broad_lam_like,program_1,SLS_stem_like,treatment-associated,supported,gene_set,0,,0.0,-0.12173685820168151
broad_lam_like,program_2,SLS_stem_like,treatment-associated,supported,gene_set,0,,0.0,0.11459374867965032
broad_lam_like,program_3,SLS_stem_like,treatment-associated,supported,gene_set,0,,0.0,0.5680292948158219
broad_lam_like,program_4,SLS_stem_like,treatment-associated,supported,gene_set,0,,0.0,-0.23649673503711321
broad_lam_like,program_5,SLS_stem_like,treatment-associated,supported,gene_set,0,,0.0,-0.1598186877671349
broad_lam_like,program_1,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,0.09361316101730724
broad_lam_like,program_2,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,0.34624748057071025
broad_lam_like,program_3,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,-0.240680513856251
broad_lam_like,program_4,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,-0.24685960122446526
broad_lam_like,program_5,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,0.07553194362626942
broad_lam_like,program_1,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.1544522444712223
broad_lam_like,program_2,MDK_dormancy_persistence,treatment-associated,supported,gene_set,3,"FOS,JUN,TXNIP",0.05263157894736842,0.6794186521192569
broad_lam_like,program_3,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.34711685811600335
broad_lam_like,program_4,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.37489153575933687
broad_lam_like,program_5,MDK_dormancy_persistence,treatment-associated,supported,gene_set,1,TXNIP,0.01694915254237288,0.08701230145253629
broad_lam_like,program_1,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,-0.07409666751763207
broad_lam_like,program_2,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,-0.2825742321319686
