cohort,cohort_type,n_cells,n_datasets,n_patients,feature,n,mean,median,q05,q25,q75,q95,detection_fraction_score_gt_0
State_12,consensus_state,605,4,9,gene_MYH11,605,0.14604163671081716,0.0,0.0,0.0,0.0,0.9543848872184751,0.1652892561983471
State_12,consensus_state,605,4,9,gene_VEGFD,605,0.11371033962600487,0.0,0.0,0.0,0.0,0.8272827744483943,0.15537190082644628
State_12,consensus_state,605,4,9,gene_CTSK,605,0.3821823385382487,0.0,0.0,0.0,0.6779513359069824,1.435074257850646,0.4380165289256198
State_12,consensus_state,605,4,9,gene_EMX2,605,0.005660832223813396,0.0,0.0,0.0,0.0,0.0,0.009917355371900827
State_12,consensus_state,605,4,9,gene_HOXA11,605,0.0002733125913241678,0.0,0.0,0.0,0.0,0.0,0.001652892561983471
State_12,consensus_state,605,4,9,gene_ESR1,605,0.49288389687695777,0.3767215311527252,0.0,0.0,0.8603848814964294,1.51685357093811,0.5305785123966942
State_13,consensus_state,6,3,3,melanocytic_identity,6,0.42965030545989674,0.4290371984243393,0.028142591938376427,0.1826807651668787,0.7096427977085114,0.8098580092191696,0.8333333333333334
State_13,consensus_state,6,3,3,contractile_marker_panel,6,0.599798534065485,0.40439359471201897,0.0,0.028142591938376427,1.1856125891208649,1.4181307554244995,0.6666666666666666
State_13,consensus_state,6,3,3,VEGFD_CTSK_panel,6,0.526860182483991,0.6360670328140259,0.03313862532377243,0.24679536372423172,0.7812105864286423,0.9103166908025742,0.8333333333333334
State_13,consensus_state,6,3,3,ESR1_hormone_marker,6,1.6206458806991577,1.7098219394683838,0.0,0.4262995719909668,2.346434473991394,3.4496248364448547,0.6666666666666666
State_13,consensus_state,6,3,3,HOX_PBX_markers,6,0.11806122958660126,0.0,0.0,0.0,0.09941587597131729,0.4649982824921608,0.3333333333333333
State_13,consensus_state,6,3,3,CORE1,6,0.4433225567142169,0.4491840898990631,0.08465258404612541,0.17452987655997276,0.5621263906359673,0.8951466381549835,1.0
State_13,consensus_state,6,3,3,CORE2,6,0.3214430982867877,0.26771732419729233,0.07432392239570618,0.18815943971276283,0.4910063296556473,0.6070559620857239,1.0
State_13,consensus_state,6,3,3,CORE3_identity,6,0.7076702378690243,0.7352911829948425,0.12112495861947536,0.29139167442917824,1.1009406298398972,1.2773298621177673,1.0
State_13,consensus_state,6,3,3,LAM_myogenic_contractile,6,0.6014302124579748,0.5904957205057144,0.11308753490447998,0.25983472913503647,0.8756666034460068,1.1474358588457108,1.0
State_13,consensus_state,6,3,3,ECM_remodeling,6,0.3188176549350222,0.27350733429193497,0.06956776464357972,0.19599087536334991,0.45743703842163086,0.6104011833667755,1.0
