comparison,target_state,comparator_state,feature,n_target,n_comparator,target_median,comparator_median,median_difference,mannwhitney_u,mannwhitney_pvalue
State_15_vs_State_7,State_15,State_7,fibroblast,200,576,1.1730241179466248,0.0,1.1730241179466248,114751.0,3.901991430560851e-110
State_15_vs_State_7,State_15,State_7,mesothelial,200,576,0.0860767513513565,0.0,0.0860767513513565,76584.5,1.3816487533621827e-15
State_15_vs_State_7,State_15,State_7,pericyte_VSMC,200,576,1.87710839509964,0.03609320893883705,1.8410151861608028,114856.0,5.6929116989366296e-101
State_15_vs_State_5,State_15,State_5,gene_PMEL,200,864,2.5778037309646606,0.0,2.5778037309646606,165716.0,2.1422468184366828e-172
State_15_vs_State_5,State_15,State_5,gene_MLANA,200,864,0.0,0.0,0.0,95342.0,1.8066345136943638e-16
State_15_vs_State_5,State_15,State_5,gene_MITF,200,864,0.7259965240955353,0.6374037861824036,0.08859273791313171,93067.0,0.08761968702865806
State_15_vs_State_5,State_15,State_5,gene_ACTA2,200,864,3.576776146888733,0.35616226494312286,3.22061388194561,163507.5,2.03081482717129e-89
State_15_vs_State_5,State_15,State_5,gene_ACTG2,200,864,0.0,0.0,0.0,112797.0,1.0953571551194527e-57
State_15_vs_State_5,State_15,State_5,gene_MYH11,200,864,2.3027658462524414,0.0,2.3027658462524414,159510.0,3.994960994742059e-178
State_15_vs_State_5,State_15,State_5,gene_VEGFD,200,864,0.0,0.0,0.0,112576.0,2.893073155348155e-55
State_15_vs_State_5,State_15,State_5,gene_CTSK,200,864,3.648732900619507,0.0,3.648732900619507,170686.5,7.2974275966184e-112
State_15_vs_State_5,State_15,State_5,gene_EMX2,200,864,0.4210773855447769,0.0,0.4210773855447769,134115.5,4.979641487545406e-114
State_15_vs_State_5,State_15,State_5,gene_HOXA11,200,864,0.0,0.0,0.0,120528.0,6.344357680394381e-82
State_15_vs_State_5,State_15,State_5,gene_ESR1,200,864,0.47882020473480225,0.0,0.47882020473480225,118494.5,8.480699475194978e-23
State_15_vs_State_5,State_15,State_5,melanocytic_identity,200,864,1.1275132894515991,0.2155013382434845,0.9120119512081146,164367.5,2.2735481063634253e-88
State_15_vs_State_5,State_15,State_5,contractile_marker_panel,200,864,2.068992853164673,0.11960888653993607,1.9493839666247368,165757.0,1.996727192481173e-94
State_15_vs_State_5,State_15,State_5,VEGFD_CTSK_panel,200,864,1.942033290863037,0.0,1.942033290863037,170910.5,4.565993125880581e-112
State_15_vs_State_5,State_15,State_5,ESR1_hormone_marker,200,864,0.47882020473480225,0.0,0.47882020473480225,118494.5,8.480699475194978e-23
State_15_vs_State_5,State_15,State_5,CORE1,200,864,2.008028030395508,0.0697031132876873,1.9383249171078205,172223.0,4.097270152827655e-107
State_15_vs_State_5,State_15,State_5,CORE2,200,864,1.1634118556976318,0.3068745583295822,0.8565372973680496,170003.0,4.0441763606354424e-101
State_15_vs_State_5,State_15,State_5,CORE3_identity,200,864,1.6109884977340698,0.20334502309560776,1.407643474638462,172648.0,1.7070163149085654e-107
State_15_vs_State_5,State_15,State_5,HOX_PBX,200,864,0.314716175198555,0.0,0.314716175198555,168792.0,2.2062802237113315e-147
State_15_vs_State_5,State_15,State_5,LAMCORE_777,200,864,0.512529730796814,0.04596872068941593,0.46656101010739803,172784.0,7.927406708586231e-108
State_15_vs_State_5,State_15,State_5,ECM_remodeling,200,864,1.5745034217834473,0.30283820629119873,1.2716652154922485,170692.0,9.227103022320318e-103
State_15_vs_State_5,State_15,State_5,mTOR_translation,200,864,1.8646366000175476,1.5497950315475464,0.3148415684700012,144070.0,4.377542821393754e-49
State_15_vs_State_5,State_15,State_5,hormone_related,200,864,0.17859980463981628,0.0,0.17859980463981628,151493.0,1.0441282513805399e-76
State_15_vs_State_5,State_15,State_5,hypoxia_stress,200,864,0.44189926981925964,0.318097248673439,0.12380202114582062,104027.0,6.754760816696829e-06
State_15_vs_State_5,State_15,State_5,protease_ECM_niche,200,864,1.0222324132919312,0.9057418704032898,0.11649054288864136,117545.0,1.8220102734076434e-15
State_15_vs_State_5,State_15,State_5,ciliated,200,864,0.0,0.0,0.0,111592.5,2.4197653275207638e-18
State_15_vs_State_5,State_15,State_5,AT2,200,864,0.3526631295681,0.1606995090842247,0.19196362048387527,109064.0,4.3599988468360915e-09
State_15_vs_State_5,State_15,State_5,macrophage,200,864,0.380711168050766,2.787962555885315,-2.407251387834549,1203.0,6.150049532801574e-105
State_15_vs_State_5,State_15,State_5,endothelial,200,864,0.0,0.13707935065031052,-0.13707935065031052,29732.0,9.433017542006909e-48
State_15_vs_State_5,State_15,State_5,fibroblast,200,864,1.1730241179466248,0.1872481107711792,0.9857760071754456,171609.0,5.6127452482250776e-105
State_15_vs_State_5,State_15,State_5,mesothelial,200,864,0.0860767513513565,0.0,0.0860767513513565,137601.0,9.574979413990511e-95
State_15_vs_State_5,State_15,State_5,pericyte_VSMC,200,864,1.87710839509964,0.05492508038878441,1.8221833147108555,172507.0,1.7816880058623892e-107
