dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE302356,scRNA,IFIT1,True,703,0.7183216839188191,1.555043499977328,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IFIT2,True,988,0.7362308563245406,1.619230704425986,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IFIT3,True,1288,0.7985628609818592,1.6985985261618746,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IFITM1,True,2547,0.9873339285427869,1.7126992201429134,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IFITM2,True,9090,1.4508265283493031,2.779352863000226,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IFITM3,True,5681,1.5816284242525604,2.944022233564652,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IFNG,True,126,1.0987196895612232,1.6967778299150784,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IL1B,True,618,0.7441139642159953,1.9006276157313235,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IL6,True,393,0.9016643800690306,2.1699620763223595,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,IRF1,True,4209,0.9625576589443572,1.9108320506848133,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,ISG15,True,3746,0.9339423539525952,1.7215070164511457,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,KLF4,True,3177,1.0591604510934947,2.3915558203048293,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,KLRC1,True,515,1.3353991794093534,2.327348040083259,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,KLRD1,True,1818,1.9314786592037287,2.9381636170174805,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,LAG3,True,264,1.0009308664151235,1.5196939787725792,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,LGALS9,True,2030,0.775090735099849,1.3648764880306294,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,LGR5,True,25,0.9563984832405599,1.4637782137636295,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,LST1,True,3259,1.4148212087011995,2.7486499300048077,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,MDK,True,983,0.7490967098036478,1.5568632515703371,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,MICA,True,580,0.6254231196956077,1.219501180467426,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,MICB,True,379,0.551941361862968,1.1217424448648217,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,MITF,True,564,0.5126858625912625,1.02156946001731,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,MLANA,True,12,,,False,nonzero normalized expression within dataset x assay
GSE302356,scRNA,NANOG,True,18,,,False,nonzero normalized expression within dataset x assay
GSE302356,scRNA,NECTIN2,True,2240,0.7378079208479251,1.5192331404417931,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,NES,True,1734,1.0571340560214444,2.1219128268546514,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,NFKBIA,True,7955,1.3087179339478365,2.4723202537508007,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,NKG7,True,2326,1.5980164684787401,3.856826577879445,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,NLRC5,True,1714,0.8323259680512077,1.4040091636239618,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,PDCD1,True,212,0.9876776320429603,1.4518250845231622,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,PDCD1LG2,True,234,0.5388707284325478,1.269806659749253,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,PMEL,True,48,0.6696188075383581,2.490067938820097,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,PRF1,True,1873,1.5705980791178364,3.0346712611746036,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,PROM1,True,53,0.5957723224165762,1.1677265498374154,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,PSMB8,True,5323,0.9685662228713157,1.6457652217437806,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,PSMB9,True,5633,1.0220496383230409,1.8079126401697951,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,PVR,True,461,0.5512392395734595,1.144402300296118,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,SOX2,True,51,0.5753075250770356,1.1109312861426166,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,STAT1,True,2871,0.815330254841085,1.5020112331129676,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TAP1,True,3396,0.8713636750192937,1.5785289482639464,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TAP2,True,1873,0.7157919986643896,1.355455234719555,True,nonzero normalized expression within dataset x assay
