row_type,branch_id,source_state,distance_segment,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,myogenic_median,myogenic_q25,myogenic_q75,VEGFD_median,VEGFD_q25,VEGFD_q75,CTSK_median,CTSK_q25,CTSK_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,hormone_median,hormone_q25,hormone_q75,ECM_median,ECM_q25,ECM_q75,protease_median,protease_q25,protease_q75,mTOR_translation_median,mTOR_translation_q25,mTOR_translation_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75,distance_metric,score_name,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,lam_support,10.0,-0.21309972369049257,-0.3032594114718654,-0.12294003590911975,4.632240301419152e-06,-0.27354688497407603,3.292247373845172e-08
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,HOX_PBX,10.0,-0.07072122577481299,-0.11663610037903545,-0.024806351170590532,0.0026244770308170634,-0.16945263640814234,0.0007206023168554041
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,hormone,10.0,-0.08577326484989639,-0.1406846434486262,-0.0308618862511666,0.002283781870839509,-0.14291418813694887,0.0044274383547402065
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,ECM,10.0,-0.15917788995540047,-0.21512769169936102,-0.10322808821143992,4.228692007987918e-08,-0.3038552842801325,6.99236401121484e-10
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,protease,10.0,-0.07861351697690629,-0.119263108432625,-0.037963925521187575,0.00016661868362944003,-0.1505282461605156,0.0027058648954874603
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,mTOR_translation,10.0,0.17292262910939535,0.08577701725443855,0.26006824096435216,0.00011288501719376528,0.12161028908281711,0.015594126489883758
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,T_NK,10.0,0.006340353928733777,-0.04557531507140392,0.05825602292887148,0.8103628850098752,0.0994422380464131,0.048267046504486336
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,macrophage,10.0,-0.016512078233361274,-0.06326941695310447,0.030245260486381917,0.48789003110068097,-0.026097752869047378,0.6050675958817426
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,AT2,10.0,-0.06308336598540823,-0.13951019494123038,0.013343462970413916,0.10543435336114129,-0.05087712227685688,0.3131609520683187
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,endothelial,10.0,-0.015538216820726973,-0.03219427608932123,0.0011178424478672858,0.06739710871834378,-0.056116591104013104,0.2658641226702619
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,lymphatic_endothelial,10.0,-0.016104943132039785,-0.034484640744313524,0.00227475448023395,0.08572616681226922,-0.13546803123512507,0.007011848092693392
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,fibroblast,10.0,-0.1486415481328603,-0.20184133680521762,-0.09544175946050296,7.186338311862069e-08,-0.2916512020860312,3.4841518106312958e-09
