row_type,branch_id,source_state,distance_metric,score_name,n_cells,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,branch_03,State_20,graph_hop,LAMCORE_independent,756,10,0.0005533763557088109,-0.00311544953559021,0.004222202247007832,0.7672313852666881,0.15458874363454678,1.962254226302336e-05
model,branch_03,State_20,graph_hop,CORE1,756,10,0.020302344979943418,-0.008618216162383556,0.04922290612227039,0.16857345647212066,-0.08251890039855585,0.023267652786721844
model,branch_03,State_20,graph_hop,CORE2,756,10,0.009066614330336675,-0.005467755722172304,0.023600984382845656,0.22110359379122474,-0.05237935412725852,0.15020753227944367
model,branch_03,State_20,graph_hop,CORE3,756,10,0.012706300158286873,-0.0015299406096931489,0.026942540926266897,0.08015474566519144,0.05593846715510924,0.12436387248640349
model,branch_03,State_20,graph_hop,melanocytic,756,10,0.013193852012755684,-0.006515285105488183,0.03290298913099955,0.1891866900206968,0.07210308173893891,0.047500900472141935
model,branch_03,State_20,graph_hop,myogenic,756,10,0.014408787296197684,-0.01852477848986222,0.047342353082257586,0.3906716313761677,-0.03130668421556841,0.39002178695857737
model,branch_03,State_20,graph_hop,VEGFD,756,10,0.0220328161836236,-0.03289796979960385,0.07696360216685105,0.4312843796834899,0.07288282267976653,0.045145618762553436
model,branch_03,State_20,graph_hop,CTSK,756,10,0.011522863623713464,-0.04777485877529222,0.07082058602271915,0.7029527173536718,-0.11276294676204814,0.0019012004147706098
model,branch_03,State_20,graph_hop,lam_support,756,10,0.009701508649125471,-0.019079551451793964,0.0384825687500449,0.5083431437797346,0.0409997022309122,0.2602021235556633
model,branch_03,State_20,graph_hop,HOX_PBX,756,10,-0.018701112122677194,-0.03232520419963723,-0.005077020045717161,0.007203446901465212,0.10752124240809685,0.0030760047403650733
model,branch_03,State_20,graph_hop,hormone,756,10,-0.0010309886680775898,-0.018460555406673657,0.016398578070518477,0.907585660795083,0.15237022161958674,2.586169216616728e-05
model,branch_03,State_20,graph_hop,ECM,756,10,0.03381455866833043,-0.0028311293666487755,0.07046024670330964,0.07046817961533196,-0.03401017166307703,0.3503823411126259
model,branch_03,State_20,graph_hop,protease,756,10,0.01985954512881579,0.0005873082589461127,0.03913178199868547,0.04343198980591963,-0.11116043197510893,0.002207170717846873
model,branch_03,State_20,graph_hop,mTOR_translation,756,10,-0.027527382287211133,-0.059927280472684745,0.004872515898262479,0.09575162224699368,-0.215962920030066,1.9840628860426895e-09
model,branch_03,State_20,graph_hop,T_NK,756,10,-0.011175512511388742,-0.020768756960311052,-0.0015822680624664309,0.02247852512588795,-0.022572151468982178,0.5354661471632666
model,branch_03,State_20,graph_hop,macrophage,756,10,-0.03027882506338267,-0.05604375334000768,-0.004513896786757655,0.021323239376764714,-0.15545517903642217,1.7598543639206985e-05
model,branch_03,State_20,graph_hop,AT2,756,10,0.013987416036082057,-0.023630328298885228,0.05160516037104934,0.46564419338664736,0.13900115844719804,0.00012597162419084138
model,branch_03,State_20,graph_hop,endothelial,756,10,0.007957593540456758,-0.003073893790799342,0.01898908087171286,0.15715655861569314,0.02055630572510277,0.5725300118163172
model,branch_03,State_20,graph_hop,lymphatic_endothelial,756,10,-0.008556935789680673,-0.018709022614720544,0.001595151035359196,0.09840818021064719,-0.06903102942617317,0.057806514070004415
model,branch_03,State_20,graph_hop,fibroblast,756,10,0.03352253871858833,-0.008887065148444846,0.0759321425856215,0.1211423280001267,-0.03195548609821441,0.38026896985488307
model,branch_03,State_20,graph_hop,pericyte_VSMC,756,10,0.011836040120402569,-0.012316952390083683,0.03598903263088882,0.3363454607011195,-0.08717851960720513,0.01650229807891779
model,branch_03,State_20,graph_hop,mesothelial,756,10,-0.0053640011044433075,-0.011986454865538926,0.0012584526566523108,0.11223674256256314,-0.05480983446224864,0.13215459598371454
model,branch_03,State_20,graph_hop,ciliated,756,10,0.0029743814741271407,-0.002815234672596921,0.008763997620851203,0.31351384156531337,0.11074738176919036,0.0022930214327849777
model,branch_04,State_7,latent_distance,LAMCORE_full,576,11,0.004164488485748224,-0.00015092301275740523,0.008479899984253853,0.05853907501013088,0.21574146635521066,1.7113147462854853e-07
model,branch_04,State_7,latent_distance,LAMCORE_no_gate,576,11,0.00414315583870542,-0.00021274087357063022,0.00849905255098147,0.06224563048036571,0.21393181875266873,2.179509099833062e-07
