"gene_symbol","GSM2795553","GSM2795554","GSM2795555","GSM2795556","GSM2795557","GSM2795558","GSM2795559","GSM2795560","GSM2795561"
"MIR223",4.51572418212891,4.51572418212891,4.43853855133057,4.51572418212891,4.4455041885376,4.51730632781982,4.54167461395264,4.5419397354126,4.54327297210693
"MIR2276",4.2884635925293,4.42760372161865,4.42760372161865,4.42760372161865,4.42154693603516,4.42760372161865,4.42562294006348,4.43781280517578,4.43470859527588
"MIR2278",5.26957607269287,5.13226461410522,5.13226461410522,5.08785152435303,5.27208757400513,5.46212387084961,5.12891626358032,5.13174915313721,4.99594306945801
"MIR22HG",7.33191466331482,7.31208062171936,7.36116194725037,6.97111797332764,7.02510476112366,6.95262169837952,7.2241997718811,7.31223940849304,7.5583028793335
"MIR2355",4.70728778839111,4.50320100784302,4.4607081413269,4.66876840591431,4.59667539596558,4.29625225067139,4.29414129257202,4.28120231628418,4.16631603240967
"MIR2392",3.81374788284302,3.83889579772949,3.81657075881958,3.81399250030518,3.72909188270569,3.70561456680298,3.81449174880981,3.76188564300537,3.88127398490906
"MIR23A",6.52868461608887,6.5645923614502,6.47454595565796,6.47454595565796,6.47454595565796,6.47454595565796,6.46577835083008,6.47454595565796,6.47454595565796
"MIR23AHG",6.77052021026611,6.69824600219727,6.55067920684814,6.93632793426514,7.05246353149414,6.74701452255249,6.51653957366943,6.82216167449951,6.75143384933472
"MIR23C",5.63412189483643,5.55635976791382,5.7431960105896,5.66337823867798,5.65610027313232,5.40493392944336,5.65610027313232,5.82459545135498,5.79116058349609
"MIR2467",3.10693383216858,3.10693383216858,3.15090680122375,3.11354947090149,3.10693383216858,3.08758544921875,3.05642318725586,3.11515736579895,3.07303690910339
"MIR25",6.48507595062256,6.21452045440674,6.39128112792969,6.59145212173462,6.82500743865967,6.60557699203491,6.12249755859375,6.37303018569946,6.5867109298706
"MIR2681",4.13227939605713,4.04118919372559,4.12603282928467,4.09507322311401,4.09507322311401,4.09507322311401,4.42643928527832,4.09507322311401,3.84898948669434
"MIR2682",3.91333866119385,3.84723854064941,3.92221140861511,3.88094210624695,3.74637126922607,3.82998609542847,3.85286545753479,3.88094210624695,3.89387488365173
"MIR26A1",3.50047492980957,3.74035549163818,3.68374633789062,3.68374633789062,3.68374633789062,3.68374633789062,3.64358425140381,3.72767877578735,3.67118501663208
"MIR26A2",3.87254428863525,3.85697245597839,3.86507749557495,3.85697245597839,3.81969165802002,3.81499123573303,3.85697245597839,3.85697245597839,3.85697245597839
"MIR26B",5.92372703552246,5.92135906219482,6.60548400878906,6.14621305465698,6.29783821105957,6.51068830490112,6.14621305465698,6.14621305465698,5.63126087188721
"MIR2909",4.20913028717041,4.20913028717041,4.1138219833374,4.19473600387573,4.15877246856689,4.28471994400024,4.20913028717041,4.20913028717041,4.3543872833252
"MIR296",3.80435800552368,3.72800588607788,3.75944328308105,3.75560092926025,3.79255533218384,3.66905879974365,3.75560092926025,3.59640979766846,3.75560092926025
"MIR298",4.20739126205444,4.26278162002563,4.61926174163818,4.40737199783325,4.37280082702637,4.37467813491821,4.37467813491821,4.41831874847412,4.06028890609741
"MIR299",5.38652896881104,5.56127882003784,5.50979137420654,5.68343305587769,5.22929859161377,5.76112031936646,5.71919393539429,5.63939046859741,5.53142690658569
"MIR29A",8.76975917816162,8.67011833190918,8.53036594390869,9.17266368865967,9.76986026763916,9.14032363891602,8.21689128875732,7.59325408935547,7.6361198425293
"MIR29B1",4.75029039382935,4.61594486236572,4.58716583251953,4.56608009338379,4.61594486236572,4.65620422363281,4.81033229827881,4.68685340881348,4.61594486236572
"MIR29B2",5.05477046966553,5.0596170425415,5.0596170425415,5.0596170425415,5.12571573257446,5.0596170425415,5.0596170425415,5.0596170425415,5.0596170425415
"MIR29B2CHG",5.46053886413574,5.52348232269287,5.52348232269287,5.52348232269287,5.5983190536499,5.52348232269287,5.52348232269287,5.52348232269287,5.51784610748291
"MIR300",4.16663360595703,3.996901512146,4.15508413314819,4.16791248321533,4.08639097213745,4.07531547546387,4.07531547546387,3.98662257194519,3.98648548126221
"MIR301A",3.54425096511841,3.52328014373779,3.50012397766113,3.70650243759155,3.52328014373779,3.59946775436401,3.46837615966797,3.57161712646484,3.44393992424011
"MIR301B",3.53405714035034,3.46315836906433,3.52765846252441,3.47009015083313,3.49891901016235,3.49891901016235,3.49891901016235,3.67093944549561,3.49891901016235
"MIR302A",4.70524120330811,4.73026180267334,4.73026180267334,4.73026180267334,4.73026180267334,4.73026180267334,4.73026180267334,4.73026180267334,4.73026180267334
"MIR302F",3.61513543128967,3.57887959480286,3.51966977119446,3.69883227348328,3.57887959480286,3.78019499778748,3.45693421363831,3.57887959480286,3.57887959480286
"MIR3065",5.87709712982178,6.27523612976074,6.2276816368103,5.83058643341064,5.86486053466797,6.03074645996094,6.06532907485962,5.85458517074585,5.78512620925903
"MIR3074",4.3989691734314,4.28419637680054,4.48013019561768,4.59849643707275,4.83407688140869,4.4834942817688,4.48013019561768,4.66813564300537,4.2496485710144
"MIR30A",3.59186935424805,3.6934323310852,3.50549387931824,3.59186935424805,3.62108421325684,3.58237171173096,3.64757418632507,3.56429958343506,3.48628783226013
"MIR30B",4.07656669616699,3.92986726760864,4.07959794998169,4.51097249984741,4.05634498596191,4.04908037185669,4.07656669616699,4.07656669616699,4.1028323173523
"MIR30C1",5.03454113006592,5.190260887146,5.54465007781982,5.25578260421753,5.42785406112671,5.23426485061646,5.20880937576294,5.1922869682312,4.96703624725342
"MIR30C2",5.94859504699707,5.82602596282959,6.09375476837158,6.23402404785156,6.50719738006592,6.09205341339111,6.07794761657715,6.09205341339111,6.05101680755615
"MIR30D",3.75749707221985,3.71082997322083,3.71082997322083,3.68154406547546,3.70957779884338,3.71082997322083,3.71082997322083,3.71082997322083,3.73527336120605
"MIR30DHG",7.34844160079956,6.79101610183716,7.15281820297241,6.86313724517822,7.15281820297241,7.0315113067627,7.15281820297241,7.24493312835693,7.22161197662354
