gene,gse104335_logFC_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_P.Value_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_adj.P.Val_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_vehicle,tsc2_loss_hydrogel,tsc2_loss_hydrogel_moderated_q,residual_hydrogel,residual_hydrogel_moderated_q,hydrogel_specific_residual,hydrogel_specific_residual_moderated_q,escape_hydrogel,escape_hydrogel_moderated_q,environment_dependent_escape,environment_dependent_escape_moderated_q
RN7SL401P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL402P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL403P,,,,,,,,,,0.0769142723739021,0.4850687730552397,0.0,1.0,-0.018365472006412,1.0,-0.0769142723739021,1.0,-0.0952797443803142,1.0
RN7SL404P,,,,,,,,,,-0.0165605357342728,1.0,0.0,1.0,0.0135731865730548,1.0,0.0165605357342728,1.0,0.0454560015377034,1.0
RN7SL405P,,,,,,,,,,0.0,1.0,0.0223434398962078,1.0,0.0932709074568772,1.0,0.0223434398962078,1.0,0.0932709074568772,1.0
RN7SL408P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL40P,,,,,,,,,,-0.0318282668192557,1.0,-0.0134422976045679,1.0,-0.0134422976045679,1.0,0.0183859692146878,1.0,0.0183859692146878,1.0
RN7SL411P,,,,,,,,,,-0.0007471117752042,1.0,-0.0148565140125185,1.0,-0.0148565140125185,1.0,-0.0141094022373143,1.0,-0.0638070063284644,1.0
RN7SL413P,,,,,,,,,,-0.0160896653781689,1.0,0.0314816333609074,1.0,0.0314816333609074,1.0,0.0475712987390764,1.0,0.0475712987390764,1.0
RN7SL414P,,,,,,,,,,-0.0160896653781689,1.0,-0.0134422976045679,1.0,-0.0134422976045679,1.0,0.002647367773601,1.0,0.002647367773601,1.0
RN7SL415P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0655306574326849,1.0
RN7SL416P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL417P,,,,,,,,,,-0.0327493952784685,1.0,-0.037251071542726,1.0,-0.0123191068540522,1.0,-0.0045016762642574,1.0,0.0204302884244163,1.0
RN7SL418P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0268956840189269,1.0,0.0,1.0,0.0268956840189269,1.0
RN7SL419P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL41P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL420P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL422P,,,,,,,,,,0.0,1.0,0.0,1.0,-0.0140810730354549,1.0,0.0,1.0,-0.0140810730354549,1.0
RN7SL423P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0169491669646996,1.0
RN7SL424P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL426P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL42P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL430P,,,,,,,,,,0.0464368039365888,0.8745342242583111,-0.0395979658014482,1.0,-0.0536790388369031,1.0,-0.086034769738037,0.858666257022219,-0.1001158427734919,1.0
RN7SL431P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL432P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL434P,,,,,,,,,,-0.0640763056662744,0.6166767382213868,-0.0294132150811946,1.0,-0.0146588137540825,1.0,0.0346630905850798,1.0,0.0494174919121919,1.0
RN7SL435P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0169491669646996,1.0
