gene,mean,median,max,count
ATL2,0.5229386307058824,0.2596525,3.026470542,17
ALG5,0.9894207928000001,0.512800165,3.025458787,5
SLC29A2,0.7863043558571429,0.361858484,3.025129424,7
MIEF1,0.43007252999999995,0.0968038185,3.023452091,14
URI1,0.7094809168461539,0.073254,3.02131467,13
TMBIM4,0.48737830653846154,0.293661258,3.021055,13
FLT1,1.103558147875,0.0584625,3.017849097,8
YBX1,1.2334929905999998,0.63896121,3.013544336,5
TRMU,0.8731581041111112,0.5965820385,3.008766039,18
PSME4,0.7238569097777777,0.19972349,3.005852779,9
GRWD1,1.7703472396666668,2.197236813,3.003681906,3
TAF5L,1.1684369674,0.771608971,3.003403013,5
BCS1L,0.9441183732,1.0079918490000002,2.997331376,20
ADH5,0.5034542934615385,0.307959035,2.996055635,13
NFE2L1,0.34391323960869563,0.19016708,2.994795,23
OLFM1,0.36361193846153844,0.0188167,2.994295,13
RAB6B,0.7081437711428572,0.0,2.991316117,7
THUMPD2,0.7704793776666666,0.585464183,2.990243893,9
SLC25A11,1.4889286706,0.781778905,2.989287926,5
GABRE,0.8171698939166667,0.5232737915,2.989063172,12
EYA2,0.44135766,0.0206403,2.987185,10
MYBL2,2.6085009775000003,2.6085009775000003,2.984315012,2
DRG1,1.3626822633333333,1.0641934044999999,2.984032515,6
CCT7,0.8330055223529411,0.630899978,2.981464938,17
UBXN2A,1.2478432172,1.165504035,2.980167675,5
TIMM9,0.706323977,0.5324223775,2.979845,10
GCA,0.5946695939,0.19562339299999998,2.977842038,10
FUS,1.0283233828461538,0.791762487,2.977462765,13
PIK3R3,0.7127314015714286,0.385716817,2.976208019,7
ZNF503,1.4877767375,1.4877767375,2.975553475,2
GLUL,0.8014391694615384,0.651237482,2.97551403,13
NASP,0.5910405237999999,0.3599005,2.973147808,25
GTF3C2,0.9042491980000001,0.625362329,2.972974347,14
RAC3,1.55046455475,1.3314161635,2.971115892,4
GATC,1.5294880126666666,1.617729901,2.970734137,3
RPS16P9,2.969985,2.969985,2.969985,1
NOC4L,1.07540353025,0.4613882025,2.969088216,4
METAP2,0.7586303257272727,0.382280769,2.968222378,11
HOXC9,2.0841713399999997,2.425417494,2.966009541,3
RMND5B,0.9301060739166666,0.9637518574999999,2.956632597,12
KDM5C,0.9336255417333333,1.088,2.956207342,15
DDX49,0.7084866657142858,0.4476600745,2.953630296,14
PIM2,1.3020104303333333,0.4771955,2.952852666,3
STON2,0.6186817553711111,0.113507,2.952257225,9
IRF3,0.7548513868709678,0.692846822,2.950555349,31
PABPC4,0.9947625806000001,0.958912178,2.950491923,25
C8orf59,0.6940956588461538,0.456889103,2.946958815,13
NCAPG,1.277050843,1.169993384,2.944888625,5
