gene_symbol,tpm.103cell_siCtrl,tpm.103cell_siSTAT3,tpm.103cell_Rap,tpm.102cell_siCtrl,tpm.102cell_siSTAT3,tpm.102cell_Rap
BACH2,0.0135636,0.0,0.0139742,5.440607,4.283397,3.755858
KHDC1,17.039693,21.210997,16.85965,3.629257,4.094317,7.661797
CEP162,11.370352,11.705691999999999,12.494022999999999,8.370758599030001,7.968254181443,6.517982
NT5E,114.378171,124.46335,172.954258,1.1166698,1.314452,0.814659
MRAP2,0.732244,0.903409,1.50843,3.25036,4.01122,4.18035
AKIRIN2,54.844449999999995,62.2338,52.12009,70.3553,69.7868,72.864
ORC3,57.761014,65.44494,67.931418,48.430009,44.547425000000004,48.311908
LMO2,0.0771296,0.221887,0.23827,1.538428,1.331906,2.3853151
NAT10,43.914691,44.0745360255219,34.959655,51.271556000000004,47.340168000000006,30.585749
EHF,0.04696923,0.050706520000000005,0.0681518,0.3685952,0.45872133879,0.46403
ELF5,0.0506572,0.0260247,0.116734,0.017108,0.0755279,0.0165937
PRRG4,11.1719,11.3768,8.63556,4.39731,5.10948,3.51662
METTL1,33.86364,42.22703,29.19601,43.58805,45.15726,29.045213
CD63,1957.7387899999999,2121.2898529999998,2383.2264476,482.13900299999995,542.5629566,504.70641
PRPH,0.3648783,0.47241619999999995,0.3841828,2.0790037,1.6423097,2.648652
AVIL,5.3274856999999995,2.920319,4.009016,3.931375,2.949468,3.085376
AMHR2,0.0,0.0,0.0,1.217886,1.203324,1.6017059999999999
LACRT,0.0,0.0,0.0,0.0,0.0,0.0
GDF11,8.53568,6.67506,7.74742,13.10707,12.06099,10.161750000000001
ITGA7,94.494851,72.108516,83.666923,12.172137,10.203093123154,11.793395
FAM186B,0.503877,0.8251448,0.413491,0.34196773,0.46465880000000004,0.5269976000000001
RDH5,37.45444,27.243058,33.873402999999996,5.091277,4.155052,4.090973
AGAP2,3.1613819999999997,3.1793810999999996,3.652175,3.796952,2.872432,4.60012
RP11-644F5.10,8.554998000000001,6.21435,6.933885,3.280954,2.1420402866,3.236346
KRT85,0.0,0.0,0.0,0.0,0.0,0.0
CDK4,546.901686,547.365053,567.606668,352.346291,383.02775399999996,319.800873
PPP1R1A,0.0,0.0,0.0,1.1577931,1.5377210000000001,1.9807653
