gene,102cell_siSTAT3_minus_siCtrl,102cell_rapamycin_minus_siCtrl,102cell_siSTAT3_minus_rapamycin,103cell_siSTAT3_minus_siCtrl,103cell_rapamycin_minus_siCtrl,103cell_siSTAT3_minus_rapamycin
FAM168A,-0.12067389570812281,-0.6337249310516064,0.5130510353434836,0.04423998523458916,0.0763996133872018,-0.03215962815261264
RELT,-0.15474265840128565,-0.21244370710720428,0.057701048705918634,-0.17635097683385226,-0.24212326511184612,0.06577228827799386
CDC27,0.07238705135084178,-0.6817296013214902,0.754116652672332,0.2167453874476415,0.05746571580326787,0.15927967164437362
PKP2,-0.09014203003144017,-0.36141116723977884,0.2712691372083387,0.11310568492896683,0.037009552599471494,0.07609613232949533
IL1RAP,-0.25395125079883796,-0.7959370388948286,0.5419857880959906,0.0035227802872412894,-0.3424237264936636,0.3459465067809049
YIPF1,0.05639034326760939,0.519414372381318,-0.46302402911370866,0.09333838281735574,0.07829434858622264,0.015044034231133097
ADCK2,-0.0597484704651805,0.288850537991137,-0.3485990084563175,0.059645423315264345,0.39470354514484374,-0.3350581218295794
INPP4A,-0.028103660521912488,-0.6182605359430835,0.590156875421171,-0.07696446323268358,-0.06879186423891248,-0.008172598993771096
SLC2A3,-0.22539454968837047,-0.4860366334227715,0.260642083734401,-0.05751252261726414,0.010333441332977422,-0.06784596395024156
ENPP2,-0.13869057683985542,-1.488602565213807,1.3499119883739517,-0.1885348874125985,-0.5177002174960221,0.32916533008342364
CTDP1,-0.12861863261513085,-0.28021814573167125,0.1515995131165404,-0.3383797703371476,-0.27101923808804473,-0.06736053224910288
STYK1,0.2426813576777762,-0.08069371216778043,0.32337506984555664,-0.2689356449897957,0.30042237000182936,-0.5693580149916251
GNA11,-0.09742969612628194,-0.4311779899334178,0.3337482938071359,-0.03268541511740697,0.03177619757241512,-0.06446161268982209
CREB3L3,-0.20351481103562202,-0.11051137398298222,-0.0930034370526398,-0.013284460406539855,0.9749250929583351,-0.9882095533648749
PIGV,-0.18748679545824443,0.40322568344994103,-0.5907124789081855,-0.2143820634592366,0.18555285754848772,-0.3999349210077243
HDAC7,-0.24917623935961863,0.015836085588495585,-0.2650123249481142,-0.2226003126062066,-0.11240828912863243,-0.11019202347757417
MRPS35,0.07564719215335902,-0.1568699581677233,0.23251715032108233,0.16973402221301104,-0.0035960399265100307,0.17333006213952107
BTN3A1,0.17127440095566993,-0.25485275929539863,0.42612716025106856,-0.05524922338253724,0.4041028351232958,-0.45935205850583305
APPBP2,-0.11117224667634762,-0.9813619099407935,0.8701896632644459,0.14318118692987714,-0.28793829287891803,0.43111947980879517
RPL18,0.026142701640619492,0.5488882322404365,-0.522745530599817,-0.004360336431517453,0.13032688792485914,-0.1346872243563766
CA11,-0.36036668197890087,0.3140448951962078,-0.6744115771751087,0.08947840565276488,0.23417066438180845,-0.14469225872904357
ISOC2,-0.017188639207440737,0.2726118941737061,-0.28980053338114686,-0.44848790627707036,-0.32766371744303413,-0.12082418883403623
EPN1,-0.14241563402617174,0.38868391946629544,-0.5310995534924672,-0.3934552021288713,-0.10297832465117374,-0.29047687747769757
CD22,-0.10721540671249064,0.11224382016263393,-0.21945922687512456,0.2354477398442234,0.2978400470667437,-0.062392307222520316
GSC2,0.0,0.0,0.0,0.0,0.0,0.0
ZFY,0.0,0.0,0.0,0.0,0.0,0.0
CECR5,-0.08706525063116555,-0.13179491882550476,0.04472966819433921,-0.028539528683809046,-0.25550147998426054,0.2269619513004515
KCNQ1,-0.180582329934049,0.11310972898514349,-0.2936920589191925,0.0,0.03823177367219244,-0.03823177367219244
TRPM5,-0.07872748139308408,-0.014694096916123639,-0.06403338447696044,0.0,0.0,0.0
TRIB2,0.02569971894429468,-0.2879997575234592,0.31369947646775387,0.03736478637654561,0.11033031778679891,-0.0729655314102533
OTUD5,0.007356136303861227,0.20283496827610303,-0.1954788319722418,0.01841390168388024,0.1946972914136511,-0.17628338972977087
GPKOW,-0.12166474697597707,0.1558834796348112,-0.27754822661078826,-0.2276835678025284,0.02020128800856469,-0.2478848558110931
AQR,0.03652808201287794,-0.4271939569172285,0.46372203893010644,-0.06443473409559441,-0.025416551501345808,-0.03901818259424861
KLK13,-0.006774693127370779,-0.03198958885217337,0.025214895724802594,0.0,0.0,0.0
KLK14,-0.4102468610300187,-0.2381517773017171,-0.17209508372830157,0.006358046304358933,0.0023446826160149897,0.004013363688343943
ST6GALNAC1,0.08265852378372707,0.0809301983455985,0.00172832543812855,-0.6202664016242577,-0.6202664016242577,0.0
MBD3,-0.21407295995583464,0.41211709811759967,-0.6261900580734343,-0.6057701989945707,-0.31576945482831853,-0.2900007441662522
LMCD1,0.09398331699960849,0.15372464701578892,-0.05974133001618043,-0.07867058437743779,0.21905743476470274,-0.29772801914214053
