names,scores,logfoldchanges,pvals,pvals_adj
ST13,2.830022,0.5866274,0.004654477599292348,0.183405427035977
FAM60A,2.8288844,1.6655862,0.004671056748956513,0.18360424728599006
FRZB,2.8260841,5.064161,0.0047120878339475475,0.1849886664625635
PGM5-AS1,2.821255,5.8037343,0.004783617431385924,0.1876810888344803
WDR75,2.8147569,2.6482785,0.004881414601093043,0.1908764772656503
BTG2,2.8089225,1.8399781,0.004970759960292669,0.1935872781956568
CDC37L1,2.8014512,2.2334208,0.005087334882329277,0.1969277953204142
RPL7A,2.7916346,0.028592536,0.0052442550087249675,0.20210264045470683
MCOLN3,2.7786891,3.9642434,0.005457874134230351,0.20923603326031673
POLR2M,2.7772226,2.148229,0.005482561961621604,0.20992970416727533
COX4I1,2.7752693,0.006575908,0.0055156001154977406,0.2109410621949247
PTMA,2.7750165,-0.052214988,0.005519890008745807,0.2109502271327641
RPLP1,2.7733288,0.26331118,0.005548602263361891,0.21167475555081125
TMEM47,2.7725325,3.1268218,0.005562198616902556,0.2116946090545168
TAX1BP3,2.76819,1.1376414,0.005636861331628982,0.21378107147953468
APPL2,2.7668688,2.1894145,0.005659754011378414,0.21422783576066634
PRKCDBP,2.7536957,1.7125843,0.005892653022668314,0.22137254662209452
SPATS2,2.7454972,1.9744592,0.006041926301103161,0.22610346761098107
FABP7,2.7352824,7.588888,0.006232675737094843,0.2316531109662464
ITGB1,2.7234433,1.0085129,0.006460532032853921,0.23921070192248528
MSRB3,2.723399,3.4509635,0.006461397479571505,0.23921070192248528
TCF4,2.7222674,1.4626023,0.0064835636514369716,0.23981217274847622
TCEAL7,2.71869,5.7103996,0.006554104154241266,0.24165934581912052
MAN1C1,2.716193,3.4117415,0.0066037410868243105,0.2429268753239235
PLXDC1,2.7123687,4.0198517,0.006680422826591106,0.2450399103276739
ZFYVE21,2.7116988,1.4627684,0.006693940085317885,0.2453513994072171
SNX9,2.7070212,1.4956157,0.006788992825949609,0.24802220090533175
CCND2,2.705441,1.9378446,0.00682137829920781,0.24891971688175113
DEXI,2.7041578,1.7437353,0.006847777357206712,0.24959697697472913
NDUFB1,2.6960351,0.4906852,0.0070170249031780456,0.2548905275297595
OSBPL8,2.6929126,1.3423847,0.007083083014726991,0.2564124372534227
SLC35F1,2.691939,2.0137265,0.007103789891326734,0.25697710147286146
CAPZB,2.6918,0.5804607,0.00710675244898015,0.25697710147286146
CHRDL1,2.6888292,5.2204347,0.007170309000051703,0.25839488749082756
UQCRQ,2.6663642,0.30777225,0.007667656096076745,0.2714026332572979
C7,2.6440005,4.570796,0.008193254731195625,0.2848943885185627
SH3PXD2B,2.6438677,2.1143227,0.00819646842291576,0.2848943885185627
ABI3BP,2.6378312,3.4883726,0.008343812307774553,0.28906906219921663
RPS10,2.627926,0.022762503,0.008590718696090158,0.2960125510881672
