dataset,patient_id,identity_pool,gene,n_cells,n_assayed_cells,not_assayed_fraction,not_detected_fraction_among_assayed,detected_fraction_among_assayed,detected_low_fraction_among_assayed,detected_high_fraction_among_assayed,detected_unclassified_fraction_among_assayed
GSE135851,LAM4,unrestricted_lam,MITF,808,808,0.0,0.9183168316831684,0.08168316831683169,0.009900990099009901,0.053217821782178217,0.018564356435643563
GSE135851,LAM4,unrestricted_lam,GPNMB,808,808,0.0,0.8601485148514851,0.13985148514851486,0.05816831683168317,0.034653465346534656,0.04702970297029703
GSE190260,LAM1110,broad_lam_like,PMEL,430,430,0.0,0.9790697674418605,0.020930232558139535,0.009302325581395349,0.0,0.011627906976744186
GSE190260,LAM1110,broad_lam_like,MLANA,430,430,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,broad_lam_like,TYRP1,430,430,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,broad_lam_like,DCT,430,430,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,broad_lam_like,MITF,430,430,0.0,0.37209302325581395,0.627906976744186,0.1930232558139535,0.09069767441860466,0.34418604651162793
GSE190260,LAM1110,broad_lam_like,GPNMB,430,430,0.0,0.386046511627907,0.6139534883720931,0.14883720930232558,0.1744186046511628,0.29069767441860467
GSE190260,LAM1110,high_confidence,PMEL,125,125,0.0,0.944,0.056,0.04,0.0,0.016
GSE190260,LAM1110,high_confidence,MLANA,125,125,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,high_confidence,TYRP1,125,125,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,high_confidence,DCT,125,125,0.0,0.992,0.008,0.0,0.0,0.008
GSE190260,LAM1110,high_confidence,MITF,125,125,0.0,0.352,0.648,0.264,0.12,0.264
GSE190260,LAM1110,high_confidence,GPNMB,125,125,0.0,0.296,0.704,0.144,0.272,0.288
GSE190260,LAM1110,unrestricted_lam,PMEL,1633,1633,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,unrestricted_lam,MLANA,1633,1633,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,unrestricted_lam,TYRP1,1633,1633,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,unrestricted_lam,DCT,1633,1633,0.0,0.9993876301285977,0.000612369871402327,0.0,0.0,0.000612369871402327
GSE190260,LAM1110,unrestricted_lam,MITF,1633,1633,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1110,unrestricted_lam,GPNMB,1633,1633,0.0,0.8701775872627067,0.12982241273729334,0.037966932026944275,0.03674219228413962,0.05511328842620943
GSE190260,LAM1158,broad_lam_like,PMEL,599,599,0.0,0.9849749582637729,0.015025041736227046,0.01001669449081803,0.0,0.005008347245409015
GSE190260,LAM1158,broad_lam_like,MLANA,599,599,0.0,0.994991652754591,0.005008347245409015,0.001669449081803005,0.0,0.00333889816360601
GSE190260,LAM1158,broad_lam_like,TYRP1,599,599,0.0,0.998330550918197,0.001669449081803005,0.0,0.0,0.001669449081803005
