dataset,patient_id,identity_pool,n_cells,module,mean_score,median_score,n_genes_available,mean_genes_detected,module_status
GSE135851,LAM2,unrestricted_lam,5506,nk_markers,0.09455964634969054,0.0,4,0.13603341808935707,analyzable
GSE135851,LAM2,unrestricted_lam,5506,nk_state,0.2654297732292411,0.2271922096029457,5,0.7006901561932437,analyzable
GSE135851,LAM2,unrestricted_lam,5506,presentation_machinery,1.5141128427628883,1.6277319903637335,12,6.70050853614239,analyzable
GSE135851,LAM2,unrestricted_lam,5506,stem_like,0.06919042923978969,0.04797255178793465,10,0.7653468942971304,analyzable
GSE135851,LAM2,unrestricted_lam,5506,t_cell_exhaustion,0.054927324730920456,0.0,5,0.3341808935706502,analyzable
GSE135851,LAM2,unrestricted_lam,5506,t_cell_markers,0.09138133056440459,0.0,6,0.2920450417726117,analyzable
GSE135851,LAM3,broad_lam_like,1005,antigen_associated,0.19345685381266695,0.1852972841705966,6,0.8338308457711443,analyzable
GSE135851,LAM3,broad_lam_like,1005,cd8_cytotoxicity,0.22881583193311072,0.0,5,0.7134328358208956,analyzable
GSE135851,LAM3,broad_lam_like,1005,identity_protected,0.21332118713806889,0.1418670908703256,6,0.9592039800995025,partial_coverage
GSE135851,LAM3,broad_lam_like,1005,ifn_response,0.47665270291049294,0.4599651178424627,9,3.370149253731343,analyzable
GSE135851,LAM3,broad_lam_like,1005,immune_evasion,0.372453855998119,0.3950623807034163,6,1.6606965174129353,partial_coverage
GSE135851,LAM3,broad_lam_like,1005,inflammatory,0.27312808727159105,0.2603286106064155,9,2.135323383084577,partial_coverage
GSE135851,LAM3,broad_lam_like,1005,macrophage_markers,1.8300737850552784,2.041526772732898,7,5.230845771144279,analyzable
GSE135851,LAM3,broad_lam_like,1005,macrophage_suppressive,1.7362803707681134,1.8234744936964795,8,5.7164179104477615,analyzable
GSE135851,LAM3,broad_lam_like,1005,nk_ligands,0.01875316303503798,0.0,5,0.13134328358208955,partial_coverage
GSE135851,LAM3,broad_lam_like,1005,nk_markers,0.23306504757353885,0.0,4,0.6457711442786069,analyzable
GSE135851,LAM3,broad_lam_like,1005,nk_state,0.3475076464817663,0.2461646101942921,5,1.1860696517412936,analyzable
GSE135851,LAM3,broad_lam_like,1005,presentation_machinery,1.2218455063382547,1.2894559347522143,12,6.243781094527363,analyzable
GSE135851,LAM3,broad_lam_like,1005,stem_like,0.06406761340974561,0.0459937956538896,10,0.681592039800995,analyzable
GSE135851,LAM3,broad_lam_like,1005,t_cell_exhaustion,0.0545828643962049,0.0,5,0.33034825870646767,analyzable
GSE135851,LAM3,broad_lam_like,1005,t_cell_markers,0.05140346208594607,0.0,6,0.22487562189054727,analyzable
GSE135851,LAM3,high_confidence,190,antigen_associated,0.34875104445061567,0.2962029469068611,6,1.1736842105263159,analyzable
GSE135851,LAM3,high_confidence,190,cd8_cytotoxicity,0.1341660769003658,0.0,5,0.5421052631578948,analyzable
GSE135851,LAM3,high_confidence,190,identity_protected,0.7209536673990613,0.5360243870906016,6,2.194736842105263,partial_coverage
GSE135851,LAM3,high_confidence,190,ifn_response,0.45838527912148946,0.4652868016123609,9,3.2157894736842105,analyzable
GSE135851,LAM3,high_confidence,190,immune_evasion,0.32019008949141836,0.3567026337525968,6,1.4789473684210526,partial_coverage
GSE135851,LAM3,high_confidence,190,inflammatory,0.24473162437238247,0.2243879260928318,9,1.931578947368421,partial_coverage
GSE135851,LAM3,high_confidence,190,macrophage_markers,1.4517165588261793,1.0443475921906815,7,4.510526315789473,analyzable
