gene,KO_vehicle_minus_WT_vehicle,KO_rapamycin_minus_KO_vehicle,KO_rapamycin_vs_WT_vehicle_descriptive
TARS,0.8400671080000004,-3.887422194,-3.0473550859999996
WEE2,,,
PHF23,0.5625878023333364,0.7371513820000004,1.2997391843333368
SLC6A12,-0.21109585866666647,-0.22204144466666675,-0.4331373033333332
LYN,1.4316479286666668,-0.2492051816666665,1.1824427470000003
RPA1,-0.6894692013333334,0.29274293066666646,-0.396726270666667
SNRPD2P2,0.05164807583333331,0.09417691800000005,0.14582499383333336
HYAL1,-0.8251016630000001,-0.29514486149999986,-1.1202465245
SEMA3B,-0.5296779866666679,1.1405389233333345,0.6108609366666666
LOC286382,-0.2440733473333332,-0.14567424183333344,-0.38974758916666663
PCDHB7,,,
STS,-1.0052385103333341,-0.395468043666666,-1.400706554
FCGR1A,,,
NCKAP5,,,
LLGL1,-0.741125451333333,0.23356646800000003,-0.5075589833333329
FBN2,6.045991908333333,-1.552362021333333,4.493629887
PAPPA,0.33636354383333344,0.38973040066666687,0.7260939445000003
AKAP12,-8.383850157999998,3.4664112296666616,-4.917438928333336
HMCN2,,,
AHSG,-0.25668605783333387,0.013302458166666753,-0.24338359966666712
GNA15,,,
GTF2H5,-1.4420634275000008,-0.7215274275000003,-2.163590855000001
BTD,8.236761770000001,11.711201943333336,19.947963713333337
FASN,2.024499315666666,-3.2432245406666667,-1.2187252250000002
CLTB,0.3225989133333371,1.2486448399999972,1.5712437533333343
SERPINA5,0.16709214966666674,-0.19202924333333327,-0.02493709366666652
TSPAN15,,,
MFAP1,1.0375122179999998,0.5425382870000011,1.5800505050000009
METAP2,-6.370841779999999,5.749834203333336,-0.6210075766666634
PCDHA9,-0.13246388566666645,0.08465508599999993,-0.04780879966666651
PDGFRA,1.0412860539999995,1.1545900323333336,2.195876086333333
PTPN4,0.4345095958333334,0.11396689066666665,0.5484764865
LOC101930164,,,
SERPINB5,-0.23938005100000004,,
CENPF,3.983072946666665,-1.5920207856666657,2.3910521609999993
SRSF9,-10.606828063333353,1.0865047966666737,-9.52032326666668
LGI3,0.06053813883333303,0.25725563549999997,0.317793774333333
MVB12B,-0.21668367599999994,0.22206390399999998,0.005380228000000042
AGGF1,-1.4161299884999998,0.6765059268333333,-0.7396240616666665
COL27A1,0.45969989555555646,-0.8417235613333336,-0.38202366577777713
LZTS2,3.649470202333335,1.7966718161666648,5.4461420185
GPBP1,0.23679115850000088,2.6282019093333346,2.8649930678333355
TRMT10C,1.423952270000001,3.508344566666665,4.932296836666666
CXADR,,-0.054338686000000136,
OXER1,-0.2882385985,0.2102042203333334,-0.07803437816666658
FGD3,-0.7683605946666678,-0.13500195433333317,-0.903362549000001
MANSC1,0.8435864139999993,2.0660189093333328,2.909605323333332
TGOLN2,1.9031133848333326,-5.270582467499999,-3.3674690826666662
DUSP23,9.58985885833333,-2.246493736666663,7.3433651216666656
C12orf29,-2.726830161666669,0.8336889266666674,-1.8931412350000016
EEA1,-1.3488265614999997,0.40254179483333363,-0.946284766666666
PEBP4,-0.22862210349999978,0.22317535383333365,-0.00544674966666614
MUC13,,,0.138811148
VAC14,4.310951238777778,-4.384831509555555,-0.07388027077777704
CYP7B1,-0.16743021633333388,-0.13890908400000024,-0.3063393003333341
AEN,0.22927207633333246,1.971907089000001,2.2011791653333335
TIMM50,6.960847713333333,-3.7422614199999984,3.2185862933333347
C1orf56,5.634185396666663,-3.8111477299999983,1.8230376666666643
MAK16,-0.30800567599999984,0.192529489,-0.11547618699999984
ZNF622,10.080057136666667,4.806825713333325,14.886882849999992
AFTPH,1.459192076333333,0.42434735199999984,1.8835394283333329
PCID2,-11.126559634666663,2.918885964666668,-8.207673669999995
TNPO1,5.719443656666666,5.650174966666668,11.369618623333334
LINC00891,-0.053544576333333316,,
LOC100996624,,,
FOXO3,-2.260764716666669,1.75583444666667,-0.5049302699999991
TSR3,-1.6562151533333314,-1.2555474166666674,-2.9117625699999987
RNF126,-4.22621527666667,-0.7003718966666668,-4.926587173333337
CBR4,-1.2800085026666683,0.9017174023333347,-0.3782911003333336
PWAR6,0.16622744033333336,-0.01148752250000018,0.15473991783333318
TBC1D17,0.7482192881666672,0.18431581983333345,0.9325351080000006
RPP21,-8.290650933333328,4.35200167333333,-3.9386492599999983
TAX1BP1,-6.219349620000003,24.903944893333346,18.684595273333343
IPO9,-8.05699495866667,0.009550254888889498,-8.04744470377778
NFIB,-8.991048487833332,3.547465996833332,-5.443582491000001
TOMM34,1.914638106666665,-2.238205813333332,-0.3235677066666671
GAB1,-0.15552706577777775,0.10848910144444446,-0.04703796433333329
WDR27,-0.18623598633333305,0.015282438333333315,-0.17095354799999973
BCAS3,0.016340678999999803,2.139585245333334,2.1559259243333337
NETO2,-1.9877436600000067,-0.6840402899999987,-2.6717839500000053
LOC105377247,,,
CCDC127,-4.326305909999999,0.8411723683333339,-3.4851335416666656
OXSM,3.380793094666666,1.3495684900000011,4.730361584666667
