gene,environments,mean_suppression_fraction,categories,cross_environment_retention_candidate
ADPRH,1,0.7172680153251509,partially_retained,False
ADPRS,1,0.5485697569731645,partially_retained,False
ADRA1D,1,1.8593739537164364,suppressed,False
AEBP1,1,1.1961028023669638,suppressed,False
AEBP2,1,0.5890820148625147,partially_retained,False
AEN,1,0.31715793067350007,partially_retained,False
AF106564.1,1,0.8130679187960677,suppressed,False
AF117829.1,1,0.36872067646231244,partially_retained,False
AF165147.1,1,0.7596871463486518,suppressed,False
AFAP1-AS1,1,1.1902691492462139,suppressed,False
AFAP1L1,2,0.851351293936206,suppressed,False
AFDN,1,-0.23034262643087677,enhanced_or_reprogrammed,False
AFF2,1,0.6386545588129293,partially_retained,False
AFF3,2,0.024828226662482966,enhanced_or_reprogrammed;fully_retained,True
AFTPH,1,0.9244831336715987,suppressed,False
AGAP1,2,1.0341914572914808,suppressed,False
AGAP11,1,1.0791978859513327,suppressed,False
AGAP5,1,1.1530149572427073,suppressed,False
AGFG2,1,0.7169201799011052,partially_retained,False
AGPAT5,2,0.6967538004093756,partially_retained;suppressed,True
AGT,2,0.841509816800234,partially_retained;suppressed,True
AGTR1,2,0.6736363331602445,partially_retained;suppressed,True
AHNAK2,1,0.8817934753890384,suppressed,False
AHRR,1,0.47535375879061725,partially_retained,False
AIFM2,1,0.6721287280234348,partially_retained,False
AIG1,1,0.18238723521521505,fully_retained,False
AIMP2,1,0.49525973339379326,partially_retained,False
AJM1,1,0.4732342816656895,partially_retained,False
AK3,1,0.5178421981751766,partially_retained,False
AK4,2,0.21414860621680276,fully_retained,True
AK5,1,0.030852895747023545,fully_retained,False
AKAIN1,1,1.0053692255223072,suppressed,False
AKAP12,1,0.6637214984810522,partially_retained,False
AKAP3,1,1.3288200305025784,suppressed,False
AKAP6,1,0.986455524615002,suppressed,False
AKR1B1,2,0.8341830711587647,partially_retained;suppressed,True
AKR1B10,1,0.6825593633436426,partially_retained,False
AKR1C1,2,0.455246370611546,partially_retained,True
AKR1C2,2,0.6367774520273175,partially_retained;suppressed,True
AKR1C3,2,0.5305176697908376,partially_retained,True
AKT1S1,1,0.8995521967003097,suppressed,False
AL008729.1,1,1.8739751064423107,suppressed,False
AL021368.2,1,0.6973459277106819,partially_retained,False
AL021368.4,1,0.7397981529466391,partially_retained,False
AL021408.1,1,0.45131879598172653,partially_retained,False
AL022069.1,1,0.62240558858771,partially_retained,False
AL031315.1,1,0.9731303340294677,suppressed,False
AL031600.3,1,1.2604700811048293,suppressed,False
AL031668.2,1,0.8644622208660815,suppressed,False
AL031714.1,1,0.5479009120418439,partially_retained,False
AL031719.1,1,0.6999818379960812,partially_retained,False
AL031777.2,1,0.7580452632886556,suppressed,False
AL031963.3,1,0.5541672996433583,partially_retained,False
AL034405.1,1,0.4248754465927491,partially_retained,False
AL035530.2,1,1.1637100863032634,suppressed,False
AL035665.1,2,0.8728059687789692,suppressed,False
AL049779.1,1,1.2866818741638957,suppressed,False
AL050341.2,1,0.5489449018976698,partially_retained,False
AL096701.4,1,0.884865702794611,suppressed,False
AL109615.3,1,1.3377765833058692,suppressed,False
AL109615.4,1,1.1352566339339485,suppressed,False
AL109628.2,1,0.5104086053259449,partially_retained,False
AL121612.2,1,0.28309176088387167,partially_retained,False
AL121672.2,1,0.5874257057857131,partially_retained,False
AL121845.3,1,0.5590085123163107,partially_retained,False
AL121900.1,1,0.3184469714674575,partially_retained,False
AL132780.1,1,0.41894254303556,partially_retained,False
AL132780.2,1,0.8592314974762151,suppressed,False
AL132857.1,1,0.6941945510265651,partially_retained,False
AL133215.2,1,0.6099570775434251,partially_retained,False
AL133227.1,1,1.1117146284741848,suppressed,False
AL133243.2,1,0.8664267256907325,suppressed,False
AL133318.1,1,0.9851520745619474,suppressed,False
AL133346.1,1,0.6405206511638418,partially_retained,False
AL133551.1,1,1.113984414558719,suppressed,False
AL135999.1,1,0.16809865698195525,fully_retained,False
AL136116.3,1,0.6690922721295371,partially_retained,False
AL136171.2,1,1.129718437285247,suppressed,False
AL137003.1,1,0.7361488957218097,partially_retained,False
AL137779.2,1,0.8269008334483751,suppressed,False
AL138752.2,1,0.9891988338037221,suppressed,False
AL139011.1,1,1.0769318097759757,suppressed,False
AL139220.2,1,2.2252269114956524,suppressed,False
AL139243.1,1,1.3792953744717278,suppressed,False
AL139260.1,2,0.8858497396953926,suppressed,False
AL139260.3,1,0.14856422175294925,fully_retained,False
AL139353.2,1,1.4833742115855204,suppressed,False
AL139384.1,1,0.9503837079941141,suppressed,False
AL157392.3,1,0.5064212377935653,partially_retained,False
AL158063.1,1,0.7243851723157717,partially_retained,False
AL158151.1,1,0.9614741224901716,suppressed,False
AL158206.1,1,0.7640558446932748,suppressed,False
AL158211.5,1,1.0773188784599528,suppressed,False
AL161457.2,1,0.0002653988061664947,fully_retained,False
AL161772.1,1,1.4516106649178657,suppressed,False
AL162426.1,1,0.5918108950733534,partially_retained,False
AL353751.1,1,1.3323014057425744,suppressed,False
AL354714.2,1,1.0020705736778543,suppressed,False
AL354733.3,1,1.015446721451446,suppressed,False
AL354892.2,1,0.3611526242937021,partially_retained,False
AL355347.1,1,0.9440681671293797,suppressed,False
AL355488.1,1,0.5407886189654084,partially_retained,False
AL355987.4,1,0.8165225835319345,suppressed,False
AL356215.1,1,1.326713227713916,suppressed,False
AL356534.1,2,0.47757481970120785,fully_retained;suppressed,True
AL356776.2,1,1.2105035054001825,suppressed,False
AL358115.1,1,0.46201905448143277,partially_retained,False
AL358176.4,1,0.3650773110065684,partially_retained,False
AL358334.2,1,0.07946300852024624,fully_retained,False
AL358472.6,1,0.7086419231835024,partially_retained,False
AL358852.1,1,1.7065247156226335,suppressed,False
AL359258.2,1,0.705476166486048,partially_retained,False
AL359504.1,1,0.7570223229764399,suppressed,False
AL359715.1,1,1.6010764925401486,suppressed,False
AL359878.1,1,0.880004114199612,suppressed,False
AL390067.1,1,1.125028053994104,suppressed,False
AL390719.1,1,0.7553974656255488,suppressed,False
AL390783.1,1,-0.023305003514138445,enhanced_or_reprogrammed,False
AL391704.1,1,0.3668561566831722,partially_retained,False
AL391840.3,1,0.5752546421728113,partially_retained,False
AL441992.2,1,0.5717607016707138,partially_retained,False
AL442125.1,1,0.3144584660069304,partially_retained,False
AL445250.1,1,0.7400462487131618,partially_retained,False
AL445524.1,1,0.7815644267947942,suppressed,False
AL450384.2,1,0.7470773994062034,partially_retained,False
AL451123.1,1,0.3381616604664206,partially_retained,False
