program,sample_id,available_genes,score,genotype,environment,treatment,replicate
hypoxia_stress,Pietrobon_S15,10,10.475542748200379,WT,plastic,rapamycin,2
hypoxia_stress,Pietrobon_S16,10,11.016132864656342,TSC2ko,plastic,rapamycin,2
cell_cycle,Pietrobon_S01,8,11.699090849402038,WT,hydrogel,vehicle,1
cell_cycle,Pietrobon_S02,8,11.372498307831144,TSC2ko,hydrogel,vehicle,1
cell_cycle,Pietrobon_S03,8,10.847351159411527,WT,hydrogel,rapamycin,1
cell_cycle,Pietrobon_S04,8,11.8483379439419,TSC2ko,hydrogel,rapamycin,1
cell_cycle,Pietrobon_S05,8,12.095485782667538,WT,plastic,vehicle,1
cell_cycle,Pietrobon_S06,8,12.026628586136837,TSC2ko,plastic,vehicle,1
cell_cycle,Pietrobon_S07,8,12.240348362189089,WT,plastic,rapamycin,1
cell_cycle,Pietrobon_S08,8,12.386330491659487,TSC2ko,plastic,rapamycin,1
cell_cycle,Pietrobon_S09,8,11.521031524764126,WT,hydrogel,vehicle,2
cell_cycle,Pietrobon_S10,8,10.975014095015041,TSC2ko,hydrogel,vehicle,2
cell_cycle,Pietrobon_S11,8,10.960839223205086,WT,hydrogel,rapamycin,2
cell_cycle,Pietrobon_S12,8,11.578617937366845,TSC2ko,hydrogel,rapamycin,2
cell_cycle,Pietrobon_S13,8,11.90837960781035,WT,plastic,vehicle,2
cell_cycle,Pietrobon_S14,8,11.615849841644486,TSC2ko,plastic,vehicle,2
cell_cycle,Pietrobon_S15,8,11.810915020099412,WT,plastic,rapamycin,2
cell_cycle,Pietrobon_S16,8,11.968828192331763,TSC2ko,plastic,rapamycin,2
biomarker_VEGFD_PMEL_CCL14_MMP8,Pietrobon_S01,4,3.187326178761027,WT,hydrogel,vehicle,1
biomarker_VEGFD_PMEL_CCL14_MMP8,Pietrobon_S02,4,3.02019467252103,TSC2ko,hydrogel,vehicle,1
biomarker_VEGFD_PMEL_CCL14_MMP8,Pietrobon_S03,4,3.0641855635725626,WT,hydrogel,rapamycin,1
biomarker_VEGFD_PMEL_CCL14_MMP8,Pietrobon_S04,4,2.3602881150184,TSC2ko,hydrogel,rapamycin,1
biomarker_VEGFD_PMEL_CCL14_MMP8,Pietrobon_S05,4,2.3814608646255624,WT,plastic,vehicle,1
